moment,simulated_mean,simulated_se,empirical_value,empirical_se,standardized_residual
distance_gradient_slope,-2.0423712574850295,0.09546793925174084,-5.0333,1.4048,2.124178536038369
discouraged_share,0.23726,0.00511962058543165,0.1343,0.0023,18.344661702979455
transport_budget_share,1.1131092912574245,0.02172069134925783,0.1058,0.0055,44.95669301200822
long_term_share,0.0,0.0,0.7744,0.0054,-143.4074074074074
