seed,baseline_b_u,baseline_b_v,baseline_returns_to_scale,baseline_wald_pvalue,baseline_crs_rejected,baseline_a_unconstrained,baseline_a_constrained,baseline_n_obs,frictionless_b_u,frictionless_b_v,frictionless_returns_to_scale,frictionless_wald_pvalue,frictionless_crs_rejected,frictionless_a_unconstrained,frictionless_a_constrained,frictionless_n_obs,crs_survives_both,delta_a_constrained,delta_a_unconstrained
1,0.9057772508319023,0.18826937590568082,1.0940466267375832,0.10348662272202998,False,0.7173982788005426,0.9497406356115492,100,0.913798406418787,0.16044955918392212,1.074247965602709,0.061080061352514696,False,0.7644462277989702,0.9544862880198842,100,True,-0.0047456524083350216,-0.04704794899842757
2,0.9386754002192659,0.08842624905295238,1.0271016492722183,0.37009477488248704,False,0.888778466487805,0.9641382391858825,100,0.9244049037270569,0.08757767533485128,1.0119825790619081,0.7624711763079115,False,0.9263871423252943,0.9602500439147638,100,True,0.0038881952711187218,-0.03760867583748928
3,0.922869620183941,0.1419632080769362,1.0648328282608772,0.09017146902810327,False,0.7868085522832682,0.9544365762595556,100,0.9450909373154667,0.04759346691641164,0.9926844042318783,0.6941152139151494,False,0.9903631690656997,0.9691837579010293,100,True,-0.014747181641473706,-0.20355461678243147
4,0.9419677220773959,0.0851047176719657,1.0270724397493616,0.4112842800041725,False,0.8907146602513774,0.9656689672130473,100,0.9087016053075267,0.11731937844742002,1.0260209837549468,0.5928733639411934,False,0.8800423364555995,0.9511001836680717,100,True,0.014568783544975594,0.010672323795777872
5,0.9403195285384359,0.0627330541295204,1.0030525826679564,0.9405857286110447,False,0.9616741892787564,0.9703835610225836,100,0.9640602736553198,0.03434216243122523,0.998402436086545,0.913640911867928,False,0.9877930330783268,0.983137703379987,100,True,-0.012754142357403353,-0.026118843799570413
6,0.9309750928425425,0.0483515946061277,0.9793266874486702,0.6601501848749259,False,1.028120120422308,0.9663901691153012,100,0.973827903477937,0.03487828363502199,1.008706187112959,0.6863588367951138,False,0.960930017809211,0.9859549107046703,100,True,-0.01956474158936916,0.0671901026130971
7,0.949387337626111,0.16078918226126193,1.110176519887373,0.11187298496786527,False,0.6950728909907603,0.9655199190162962,100,0.9564504301554337,0.12959254392157682,1.0860429740770106,0.09793699084476061,False,0.7505035109462577,0.9699340725665633,100,True,-0.004414153550267086,-0.05543061995549736
8,0.9509380655711182,0.16329891098904503,1.1142369765601632,0.0075425761423373325,True,0.6869397700384846,0.9645966619730185,100,0.9299595964501329,0.06555073012253526,0.9955103265726681,0.9236690711548973,False,0.9771915718853775,0.9641481564649788,100,False,,-0.2902518018468929
9,0.9116199442549033,0.19226840978165452,1.1038883540365578,0.003979749492126607,True,0.6963980878845037,0.9484383722433856,100,0.9324579106536646,0.11099514735968907,1.0434530580133536,0.17897415539233852,False,0.8457363728775465,0.961092502266183,100,False,,-0.1493382849930428
10,0.9286553924576602,0.09269962536239285,1.021355017820053,0.49251143221291616,False,0.9014587399113256,0.9605511086408329,100,0.9358187207824756,0.06933882625484622,1.0051575470373217,0.860789014543444,False,0.9519869472467782,0.9668138080826627,100,True,-0.006262699441829778,-0.0505282073354526
11,0.9529609467662052,0.14768015210386765,1.100641098870073,0.0426612873346425,True,0.7158573556511412,0.9645548261334692,100,0.9626646119862144,0.06730750929660051,1.029972121282815,0.4051185623437731,False,0.8949106463943413,0.9786018599481983,100,False,,-0.1790532907432001
12,0.9717911724223487,0.07001779022804877,1.0418089626503975,0.18845622635303846,False,0.8665407089402092,0.9814687548385389,100,0.9175290159930133,0.10399051312099483,1.0215195291140082,0.5200485138988317,False,0.8998610220486991,0.959331696152675,100,True,0.02213705868586391,-0.03332031310848993
13,0.9070742701782297,0.13972626807585375,1.0468005382540835,0.374560440703225,False,0.8283149361599806,0.9514956690012255,100,0.8753163418255182,0.17796738266180068,1.053283724487319,0.13117667918164402,False,0.8017129292221178,0.9408907555351012,100,True,0.010604913466124355,0.026602006937862854
14,0.9316246285950209,0.08188122387824004,1.013505852473261,0.6439211329101563,False,0.926373474057713,0.9642184483880578,100,0.9388794124280221,0.11760994197968955,1.0564893544077116,0.20629599819197814,False,0.8166510662007401,0.965912773658666,100,True,-0.001694325270608199,0.10972240785697285
